Time,Isosbestic,Fluorescence
143.995374,229.595,208.793
144.195363,229.627,208.546
144.395353,229.31,208.97
144.595347,229.497,209.058
144.795336,229.516,209.111
144.995325,229.754,209.032
145.195317,229.453,208.974
145.39531,229.715,209.023
145.5953,229.47,208.802
145.795291,229.479,208.566
145.995278,229.443,208.494
146.195269,229.184,208.695
146.395258,229.192,208.517
146.595249,229.103,208.623
146.795245,229.282,208.748
146.995229,229.451,208.537
147.195221,229.236,208.644
147.395215,229.764,208.722
147.595201,229.656,208.883
147.795193,229.601,208.768
147.995186,229.554,208.745
148.195178,229.343,208.696
148.395165,229.415,208.683
148.595156,229.538,208.647
148.79515,229.56,209.018
148.995134,229.589,208.808
149.195128,229.547,208.907
149.39512,229.659,208.925
149.595107,229.654,208.996
149.795099,229.561,208.84
149.995093,229.509,208.781
150.19508,229.503,208.924
150.395072,229.47,208.862
150.595062,229.489,208.857
150.795053,229.478,208.772
150.995045,229.507,208.731
151.195032,229.534,208.785
151.395024,229.498,208.675
151.595013,229.783,208.913
151.795002,229.579,208.821
151.994994,229.588,208.74
152.194992,229.742,208.921
152.394983,229.702,208.844
152.594978,229.375,208.75
152.79497,229.579,208.822
152.994968,229.344,208.548
153.194957,229.367,208.565
153.39495,229.14,208.499
153.594947,229.421,208.541
153.794941,229.288,208.579
153.99493,229.28,208.682
154.194925,229.401,208.658
154.394922,229.547,208.9
154.594913,229.742,208.806
154.794906,229.795,208.649
154.994902,229.649,208.637
155.194893,229.416,208.68
155.394885,229.616,208.804
155.594882,229.518,208.87
155.794874,229.206,208.879
155.994873,229.661,208.758
156.194862,229.384,208.623
156.394857,229.541,208.58
156.594854,229.205,208.721
156.794844,229.211,208.61
156.994838,229.348,208.709
157.194834,229.366,208.696
157.394826,229.202,208.687
157.594816,229.298,208.415
157.794809,229.35,208.582
157.994804,229.324,208.673
158.194797,229.424,208.691
158.394791,229.232,208.553
158.594784,229.389,208.554
158.794779,229.482,208.574
158.994774,229.252,208.492
159.194766,229.454,208.632
159.394764,229.345,208.539
159.594754,229.294,208.454
159.794745,229.293,208.694
159.994743,229.439,208.523
160.19474,229.374,208.718
160.39474,229.421,208.342
160.594734,229.465,208.572
160.794733,229.471,208.522
160.994725,229.354,208.651
161.194724,229.117,208.708
161.39472,229.309,208.511
161.594717,229.475,208.55
161.794711,229.464,208.844
161.994711,229.257,208.58
162.194708,229.434,208.746
162.3947,229.403,208.677
162.5947,229.811,208.923
162.794692,229.709,208.857
162.994689,229.464,208.824
163.194686,229.653,208.995
163.394684,229.505,208.534
163.594681,229.693,208.751
163.794676,229.683,208.778
