,Timestamps
187662,60407.14765
187702,60408.17217
187706,60408.27526
187710,60408.37656
187714,60408.47924
189464,60453.28284
189468,60453.38522
189507,60454.38356
189511,60454.486
189515,60454.58843
189519,60454.69116
190201,60472.15144
190205,60472.25388
190244,60473.25261
190247,60473.3295
190251,60473.43374
190255,60473.53398
192276,60525.27589
192314,60526.24918
192318,60526.35144
192322,60526.45363
192429,60529.19329
192433,60529.29622
192437,60529.3982
192441,60529.50025
192444,60529.57709
197304,60654.00393
197308,60654.1058
197312,60654.20852
197315,60654.2853
197319,60654.38746
197323,60654.48983
198218,60677.40379
198222,60677.5068
198261,60678.50468
198265,60678.60746
198269,60678.7097
198273,60678.81231
199340,60706.1297
199343,60706.2062
199382,60707.20591
199386,60707.30708
199390,60707.40951
199394,60707.51187
200041,60724.07657
200079,60725.04932
200083,60725.15173
200087,60725.25482
200192,60727.94241
200195,60728.01965
200199,60728.12165
200203,60728.2245
200207,60728.32662
207059,60903.75219
207063,60903.85498
207067,60903.95741
207071,60904.05955
207075,60904.162
207078,60904.23899
208146,60931.58181
208187,60932.63174
208190,60932.70843
208194,60932.81075
208299,60935.49939
208302,60935.57582
208306,60935.6783
208310,60935.78048
208314,60935.88288
208576,60942.59064
208580,60942.69312
208584,60942.79572
208588,60942.89804
208592,60943.00027
208596,60943.10307
210043,60980.14967
210047,60980.25176
210089,60981.32691
210093,60981.42953
210097,60981.53331
210101,60981.63412
213803,61076.41306
213845,61077.48863
213849,61077.59167
213853,61077.69332
213958,61080.38172
213962,61080.48454
213966,61080.58734
213970,61080.68878
213974,61080.79715
214154,61085.39941
214158,61085.50226
214162,61085.60422
214166,61085.70666
214169,61085.78349
214173,61085.88634
214848,61103.16762
214891,61104.26854
214895,61104.37184
214898,61104.4474
214999,61107.03374
215003,61107.13556
215007,61107.2385
215011,61107.34056
215015,61107.44288
215208,61112.38424
215212,61112.4868
215215,61112.56334
215219,61112.66563
215223,61112.76805
215227,61112.87067
218719,61202.27368
218760,61203.323
218764,61203.42525
218768,61203.52764
218871,61206.16466
218875,61206.26739
218879,61206.36991
218883,61206.47203
218886,61206.54898
218955,61208.31622
218959,61208.41915
218963,61208.52006
218967,61208.62271
218971,61208.725
218975,61208.82765
227564,61428.72424
227604,61429.74906
227608,61429.85091
